Kode Satker;Nama Satker;Kode SKPD;Pegawai Aktif
O3;DINAS PEKERJAAN UMUM DAN PENATAAN RUANG;O3;6
O5;DINAS PERHUBUNGAN (OPD);O5;24
O6;DINAS LINGKUNGAN HIDUP;O6;4
O9;DINAS SOSIAL (OPD);O9;17
O99;DINAS PERUMAHAN RAKYAT, KAWASAN PEMUKIMAN DAN PERTANAHAN;O99;2
OPD0012;ASISTEN TATA PEMERINTAHAN SEKRETARIAT DAERAH;OPD;2
OPD0014;ASISTEN ADMINISTRASI UMUM SEKRETARIAT DAERAH;OPD;4
OPD0015;STAF AHLI BIDANG EKONOMI, KEUANGAN DAN PEMBANGUNAN;OPD;3
OPD0016;STAF AHLI BIDANG KEMASYARAKATAN DAN SDM;OPD;1
OPD004;INSPEKTORAT (OPD);O04;26
OPD005;BADAN PERENCANAAN, PENELITIAN DAN PENGEMBANGAN DAERAH (OPD);O05;13
OPD007;DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL (OPD);O07;11
OPD012;DINAS PERINDUSTRIAN, PERDAGANGAN, KOPERASI DAN UKM (OPD);O01;11
OPD020;DINAS PERTANIAN DAN PANGAN;O20;6
OPD022;DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK DAN KB (OPD);O22;24
OPD038;SATUAN POLISI PAMONG PRAJA DAN PEMADAM KEBAKARAN  (OPD);O38;22
SMP1;SMP NEGERI 1 PARIAMAN (OPD);O1;2
SMP2;SMP NEGERI 2 PARIAMAN (OPD);O1;8
SMP3;SMP NEGERI 3 PARIAMAN (OPD);O1;8
SMP4;SMP NEGERI 4 PARIAMAN (OPD);O1;7
SMP5;SMP NEGERI 5 PARIAMAN (OPD);O1;2
SMP6;SMP NEGERI 6 PARIAMAN (OPD);O1;4
SMP7;SMP NEGERI 7 PARIAMAN (OPD);O1;3
SMP8;SMP NEGERI 8 PARIAMAN (OPD);O1;1
SMP9;SMP NEGERI 9 PARIAMAN (OPD);O1;4
